Continent,Country,Information
africa,algeria,"['For the intrepid traveller, adventure awaits in Algeria. A beguiling blend of cultures, landscapes and traditions, this vast chunk of land contains everything from tranquil fishing ports and bustling cities to the unmatched drama of the Sahara Desert and Hoggar Mountains.', 'As the largest country in Africa, Algeria’s terrain is hugely varied yet underexplored: few visitors travel beyond the country’s Mediterranean port cities (namely Oran and the capital, Algiers), which lie amidst fertile land and the scattered vestiges of Phoenician and Roman colonies.', 'Sometimes called ‘Algiers the White,’ the capital’s bustling showpiece is its UNESCO-listed Casbah. This whitewashed medina encompasses both crumbling ruins and newly-renovated spaces and is well worth a visit despite its shady reputation (taking a guide is recommended).', 'The ancient port city of Oran has a decidedly European vibe: French colonial influences are evident in everything from the soaring Sacré-Cœur Cathedral (now a library) to the richly ornamented Palais de la Culture. The city has long been a popular trading post and remains one of the busiest ports in North Africa.', 'The Sahara Desert is Algeria’s defining feature and one of its biggest drawing cards. It covers more than four-fifths of the country and is the source of myriad myths and legends. Nomadic Berbers still live here, eking out traditional lives in difficult conditions.', 'The security situation makes independent travel difficult in the Sahara, but under the guidance of reputable tour operators, travellers can visit attractions like the oasis towns of Ghardia and Timimoun, or venture deep into the heart of the desert to view the prehistoric rock art in the Hoggar Mountains and Tassili N’Ajjer National Park.\xa0', 'The desert is also home to the world’s most remote film festival. FiSahara takes place annually in the Wilaya of Dakhla, a Western Sahara refugee camp, to highlight the plight of the Sahrawi people. \n\nWar and tumultuous politics have deterred many from visiting Algeria – rerouting them towards Morocco instead – but if you’re looking for a North African destination with a difference, this country has much to offer.', '2,381,741 sq km (919,595 sq miles).', '40,375,954 (UN estimate 2016).', '16.6 per sq km.', 'Algiers.', 'Republic.', 'President Abdelmadjid Tebboune since 2019.', 'Prime Minister Nadir Larbaoui\xa0since 2023.']"
africa,angola,"['Its name may be synonymous with strife, but since the civil war ended in 2002 Angola has been enjoying something of a renaissance. Safe and welcoming, this friendly nation transports the laidback, community-orientated lifestyle of southern Portugal to continental Africa – and travellers are once again discovering its charms.', 'Most enter the country via the capital, Luanda, which has the dubious and surprising distinction of being the most expensive city in the world. With its gleaming skyscrapers, grand government buildings and palm-lined promenades, downtown Luanda’s prosperity probably comes as a revelation to many visitors. But the spoils of Angola’s considerable oil wealth soon give way to unofficial shantytowns, proving that not everyone is benefitting from the black gold rush.', 'It is along Angola’s stunning 1,700 km (1,000 mile) coastline, in cities like Luanda, where Portugal’s colonial influences are most striking. The faded, art deco splendour of cities like Benguela and Namibe provide a welcome distraction from the country’s sandy shores.', 'Further inland, the landscape becomes one of almost endless plains. Here remote national parks are slowly being restocked with wildlife, while the newly renovated Benguela railway wends through the seemingly endless countryside. One of the world’s most evocative rail journeys, riding through the landscape with its people is a great way to delve into the psyche of laughter loving Angolans.', 'To the north – and separated from the rest of Angola by a 40 km (25 mile) arm of the Democratic Republic of Congo – the exclave of Cabinda is Angola in miniature, with empty beaches once popular with expats, elegant towns and virgin rainforest full of wildlife.', 'Youthful and energetic, Angola, like its people, has its own way of doing things. Fun-loving and eager to impress, it is a country still shaking off its troubled past while looking firmly at the future.', '1,246,700 sq km (481,354 sq miles).', '25,830,958 (UN estimate 2016).', '15.7 per sq km.', 'Luanda.', 'Republic.', 'President João Lourenço since September 2017.', 'President João Lourenço since September 2017.']"
africa,benin,"['In many ways Benin is the perfect introduction to Africa. A land of pristine beaches, bountiful wildlife and hospitable inhabitants, travelling around the country is a doddle thanks to its small size and advanced infrastructure.', 'The birthplace of voodoo and one of the major departure points for the more than eight million people forced to leave the continent as slaves, the country also has a complex and compelling history that filters down into everyday life to create a jumble of the familiar and the strange.', 'Stay in the south to experience Benin’s major cities, the slightly chaotic yet vibrant commercial hub of Cotonou and the laidback capital Porto Novo. Take some time out from the capital’s lagoon-side location and palm-fringed Atlantic beaches to request an audience with the tribal princes of Ajase, Porto Novo’s ancestral name, while visiting the palace museum.', 'Head along the coast to experience the unique lives of the Tofinu people at Ganvié, a bamboo stilt village often referred to as the “Venice of Africa.” Or take advantage of Benin’s small size and good roads to explore the country’s spectacular countryside, which harbours remote towns and exquisite national parks. Home to lions, hippos and elephants, not to mention myriad bird species, Benin’s flagship national park is Pendjari, which serves up spectacular fauna without the crowds.', 'A thriving arts scene across the country has given rise to stunning public sculptures and fantastic architecture, which complement the elegance of the wooden Afro-Brazilian mansions of Porto Novo and Ouidah. The latter is the beating heart of Benin’s voodoo practitioners and an important stop for those interested in the history of the Atlantic slave trade.', 'Small in size but not in stature, Benin has something to suit every interest, be it the wild landscapes of the north, the bustling metropolises of the south, or the shared religion and history that bind this country and its people together.', '112,622 sq km (43,484 sq miles).', '11,166,658 (UN estimate 2016).', '92.8 per sq km.', 'Porto-Novo.', 'Republic.', 'President Patrice Talon since 2016.', 'Vacant.']"
africa,botswana,"['Easily one of best safari destinations in Africa, Botswana is a wild and dramatic land characterised not only by its bountiful wildlife, but also by its extraordinary scenery: from shimmering salt pans and diamond-rich deserts to raging rivers and fertile flood plains, the landscapes here come in many guises.', 'Nearly half of the country is given over to national parks, reserves and private concessions, which makes for an excellent safari experience. Botswana’s policy of favouring low-impact luxury tourism ensures that even the most famous game-viewing areas rarely feel crowded, while its population of just two million adds to the sense of wilderness.', 'The north of Botswana in particular offers superb wildlife-watching opportunities. It is home to the wondrous Okavango Delta – the largest inland delta in the world – where shimmering lagoons and fertile waterways are crammed with more than 400 species of bird. Away from the water zebras and giraffes amble across grass flats and flood plains, keeping an eye out for the numerous big predators that also reside here.', 'Northeast of Okavango is another jewel in Botswana’s crown: Chobe National Park, which has one of the largest concentrations of game anywhere in Africa. The reserve is particularly well known for its vast elephant herds, some 400-strong, which share this wild land with the likes of lions, cheetahs, hippos and many more.', 'It’s not only in conservation that Botswana is an African success story. Since gaining independence in 1966, it has achieved steady economic growth through good use of its agricultural potential and enviable diamond reserves.', 'It has not entirely escaped controversy – the HIV/AIDS pandemic and alleged maltreatment of the Kalahari Bushmen have caused international concern – but it remains a peaceful and stable nation of remarkable natural beauty and its developed infrastructure makes it much more accessible than some of its neighbours.', '581,730 sq km (224,607 sq miles).', '2,291,661 (2017).', '3.8 per sq km.', 'Gaborone.', 'Parliamentary republic.', 'President Mokgweetsi Masisi since 2018.', 'President Mokgweetsi Masisi since 2018.']"
africa,burkina-faso,"['On the face of it you can see why Burkina Faso lacks mainstream appeal: a landlocked West African nation with rowdy neighbours, this country has a harsh climate, unforgiving geography and an infrastructure few would want to be at the mercy of. Set piece attractions are also lacking.', 'Yet Burkina Faso remains an enthralling destination for intrepid travellers, thanks to its wonderful inhabitants and dramatic landscapes. As such, the country, though not frequently visited, is a fine place in which to immerse yourself in West African culture.', 'Meaning “land of the honest people,” Burkina Faso proudly proclaims to be one of the friendliest countries in Africa – and visitors are sure of a warm welcome. Burkinabé, as the people of Burkina Faso are known, are the exact opposite of the harsh land that they inhabit – and it is these cordial and courteous people who make coming here such a joy.', 'Burkina Faso’s traditional cultures are best sampled in its two largest cities: the fabulously named capital, Ouagadougou (also known as “Ouaga”) and the second city of Bobo-Dioolasso (simply referred to as “Bobo”).', 'Both have large communities of artists, particularly Ouagadougou, which is famed for its music scene. The art and architecture of the capital are also worthy of attention, with several largescale sculptures enlivening the streets.', 'Away from the cities, Burkina Faso’s four national parks harbour a surprising diversity of wildlife. If you can’t explore them all, then do make a beeline for Arli, which is home a wide range of ecosystems and is an important habitat for West Africa’s last big cats and elephants. Hippos, monkeys and various exotic bird species also call this national park home.', 'Burkina Faso might not suit first time travellers, but for hardy adventurers this is a destination in which to veer off the tourist trail and discover the hidden gems of West Africa.', '274,200 sq km (105,870 sq miles).', '18,633,725 (UN estimate 2016).', '69 per sq km.', 'Ouagadougou.', 'Parliamentary republic.', 'President Paul-Henri Sandaogo Damiba since 2022, was overthrown by Capt. Ibrahim Traoré in September 2022.', 'Prime Minister Albert Ouedraogo since 2022.']"
africa,burundi,"['For all its wondrous landscapes (think undulating mountain ranges, dense rainforests and shimmering lakes), travellers are advised to steer clear of Burundi right now – the scenery might be beautiful, but the political situation is decidedly ugly.', 'Civil unrest, an abortive military coup and controversial elections have dominated the headlines in Burundi recently, which is a great shame given what this country has to offer.', 'The vibrant if tumultuous capital, Bujumbura, has a prime location on the shores of Lake Tanganyika and just outside the city are some of the best inland beaches in Africa, plus a number of idyllic beachfront bars and resorts.', 'The city itself has some interesting examples of French architecture and has developed a reputation for its vibrant nightlife, but infrastructural development has been hindered by decades of sporadic conflict that culminated in 1994 and left more than 300,000 dead.', 'Further beyond the city limits, the four beautiful waterfalls at Chutes de la Karera are well worth a visit, as are a few of the largely unexplored and underdeveloped national parks.\xa0Parc National de la Rusiza is the most accessible, just 15km (9 miles) from Bujumbura, while Parc National de la Kibira is the largest rainforest in Burundi and is home to rare colobus monkeys and chimpanzees.', 'An advantage of Burundi’s small size is that if you have your own vehicle or hire a driver, it’s generally easy to visit any of these highlights and return to Bujumbura within the same day; public transport, however, is limited outside the city.', 'Burundi has made tentative progress towards peace and stability since a power-sharing government was set up in 2001 and most rebel groups agreed to disarm, but in 2015 President Nkurunziza’s bid to change the constitution and stand for a third term sparked mass protests and a violent response from the state.', 'Hundreds of thousands of Burundians have fled into neighbouring Tanzania, fearing the collapse of the country’s fragile democracy and a return to civil war. Watch this space.', '27,816 sq km (10,740 sq miles).', '11,552,561 (UN estimate 2016).', '386.2 per sq km.', 'Bujumbura.', 'Republic.', 'President Evariste Ndayishimiye since 2020.', 'Prime Minister Gervais Ndirakobuca since 2022.']"
africa,cameroon,"['While referring to Cameroon as “Africa in miniature” has become a bit of a cliché, this statement certainly rings true: everything you would expect from the African continent seems to be consolidated here, in this enticing and eclectic land.', 'The beautiful south is characterised by tropical rainforests and deserted golden beaches, which would be chock full of bathers in a more developed destination. There’s a hearty appetite for independence in the English-speaking south, but, despite the best efforts of local pressure groups, it has yet to break free from the rest of the country.', 'In contrast to the south, the dramatic landscapes of northern Cameroon are dominated by great expanses of desert, lakes and savannah. Traditional villages still cling on in this unforgiving land, which is perhaps the most culturally diverse region in Cameroon, home as it is to some 50 ethnic groups. Though largely peaceful, the region has been rocked by attacks from extremists in recent years. Keep abreast of the latest news.', 'Pack your hiking gear if you’re heading to western Cameroon, which is dominated by volcanic mountains. Looking out across these rugged ranges you could be forgiven for thinking you were on Mars, such is their otherworldly appearance. It’s not all about the landscapes, though. Scattered across the country are a handful of game reserves, which offer ample opportunity to observe impressive wildlife, including elephants and lions.', 'Cameroon really should be one of Africa’s leading destinations, but poverty blights much of its infrastructure, meaning transport and accommodation are chronically underdeveloped. Outstanding border disputes haven’t helped, either – travellers are advised to steer clear of the frontiers with Nigeria, Chad and the Central African Republic, which are considered unstable.  ', 'Aside from certain no-go areas, Cameroon has much to offer adventurous travellers. From its verdant rainforests to its iconic wildlife, the country is bursting with life. Go and you shall be handsomely rewarded.', '475,442 sq km (183,569 sq miles).', '26.285.652 (UN estimate 2020).', '49.9 per sq km.', 'Yaoundé.', 'Republic.', 'President Paul Biya since 1982.', 'Prime Minister Joseph Dion Ngute since 2019.']"
africa,cape-verde,"[""The islands of Cape Verde are a bewitching blend of Portuguese and African influences. You'll see it in the many European-style buildings and the curious musical styles, but its particularly noticeable in the food. Portuguese fare – especially seafood dishes laden with garlic and olive oil – and more African-style fare – such as stews, beans, maize and tropical crops – comfortably combined on most menus."", ""Many associate Cape Verde with the mournful songs of Cesaria Evoria, the islands' best known singer. The ‘barefoot diva' is the best exponent of morna, a lovelorn type of folk music similar to Portuguese fado. Music is a key component of life on Cape Verde, and several of the islands stage exuberant carnivals, with the best known being the Baia das Gatas Festival. São Vicente is also renowned for its exuberant festivities."", ""Once a colony and slave trade outpost, Cape Verde varies wildly in character and scenery through its 10 islands and five tiny islets. From spectacular verdant mountain ranges, to deserted beaches, with a few volcanic landscapes thrown in for good measure, it's the variety that makes Cape Verde such an unusual and appealing destination."", 'There’s lush and lively Santiago, the biggest of the islands, which boasts verdant hillsides, jungle and plenty of remarkable wildlife. It’s also the cultural heart of Cape Verde, home to the UNESCO-listed old fort at Cidade da Ribeira Grande de Santiagog (previously called Cidade Velha).', 'Near Santiago, divers will discover 16th century shipwrecks littering the sea floor. Blue marlin, yellowfin tuna and the odd humpback whale can be seen in the clear blue waters off Boa Vista. The island of Sal is popular for watersports and white sandy beaches, while Fogo is a hiker’s paradise, where volcanic peaks tower 2,829m (9,821 ft) above sea-level.', ""Cape Verde may have struggled economically since gaining independence from Portugal in 1975, but many argue that it's isolation is a blessing, leaving these islands comparatively unspoiled. The economy is currently stable and investing in modernized infrastructure, service, commerce, foreign investment and tourism. Get there before the crowds inevitably catch on."", '4,033 sq km (1,557 sq miles).', '558,071 (UN estimate 2019).', '135.4 per sq km.', 'Praia.', 'Republic.', 'President José Maria Neves since 2021.', 'Prime Minister Ulisses Correia e Silva since 2021.']"
africa,central-african-republic,"['One of the least visited countries in Sub-Saharan Africa, the Central African Republic ranks amongst the poorest nations on the planet and has struggled to find its feet since gaining independence from France in 1960. Suffice to say few tourists venture out this way.', 'A country of contrasts, the Central African Republic is a place where the Sahara Desert meets tropical Africa, where the pastoral traditions of Africa’s tribespeople rub shoulders with the colonial architecture of imperial France.', 'The French influence is particularly strong in the capital, Bangui, which retains its colonial aesthetic and is scattered with patisseries serving fresh baguettes and éclairs. Vibrant stalls around the central market provide cheap and tasty local cuisine, which ranges from fish straight out of the Ubangi River to fried plantain and fufu, a sour-tasting starch prepared from manioc flour which is a staple of the region.', 'The country’s frenzied markets are perfect places to interact with and better understand the culturally diverse tribespeople that make up the population. The shortest interaction with these people shows them to be inquisitive, warm and generous beyond their means.', 'Geographically, much of the Central African Republic is composed of rolling grasslands, dusty deserts and steamy jungles. The northern reaches of the country are dominated by the seemingly infinite Sahara. With so little light pollution here, the night skies gleams with millions of stars.', 'The far south is home to equatorial rainforests, which are considered some of the best places in Africa to see forest elephants and western lowland gorillas. The jungle is also home to pygmy tribes, which live off the land in remote pockets of central Africa. Visits to these tribes are possible and offer an insight into their extraordinary lives.', '622,984 sq km (240,535 sq miles).', '4.829.767 (UN estimate 2020).', '8.7 per sq km.', 'Bangui.', 'Republic.', 'President Faustin-Archange Touadéra since 2016.', 'Prime Minister Félix Moloua since 2022.']"
africa,chad,"['From the natural wonders of the Sahara Desert and Lake Chad to the tribal culture and hospitality that flourishes across the country, Chad quietly gets on with creating unforgettable experiences, while the rest of the world looks on unaware.', 'With a predominantly rural population, urban life is restricted to N’Djamena, the capital. As Chad’s commercial hub it attracts people from over 200 different ethnic groups. The result is a diverse set of social structures rubbing alongside one another and stark contrasts between the capital’s modernist heart and the ancient ways of nomadic tribespeople such as the Tuareg and Toubou.', 'Ethnicity remains far more important than Chadian identity and tribes hold dear a rich cultural heritage that remains largely unchanged by time or the outside world.', 'Chad’s prehistoric cave paintings, found amid gnarled rock formations in the Sahara Desert, document the existence of large animals in the region for millennia, so it is therefore unsurprising that even today the country is home to some of Africa’s most iconic species, including elephant, rhino, giraffe, leopard and lion.', 'Birdsong, made all the sweeter by the desert landscape, is near constant in the hidden palm-fringed oases of the Sahara, while the clear blue waters of Lake Chad form the second largest wetland in Africa and an important source of water for not only birds but reptiles and larger mammals too.', 'Whether it is to experience the solitude of the Sahara, seek out the hospitality of the Tuareg or witness animals surviving in the one of the most extreme landscapes on Earth, Chad offers hardy travellers an extraordinary experience. It may be nicknamed the “dead heart of Africa,” but as anyone who knows this country will tell you, that moniker couldn’t be further from the truth.', '1,284,000 sq km (495,800 sq miles).', '14,496,739 (UN estimate 2016).', '9.1 per sq km.', 'N’Djamena.', 'Republic.', 'Transitional president: Mahamat Idriss Déby since October 2022.', 'Prime Minister\xa0Succès Masra since January 2024.']"
